=== Series E chunked sweep started 2026-08-01T00:31:11Z ===
=== Chunk 0 2026-08-01T00:31:11Z ===
/workspace/scratch/run_series_e_chunked_loop.sh: line 11: python: command not found
=== Series E chunked sweep started 2026-08-01T00:31:49Z ===
=== Chunk 0 2026-08-01T00:31:49Z ===
2026-08-01 00:31:49,910 [INFO] Running day-window pipeline against /workspace/alter_ego_calibrate_series_e.db
2026-08-01 00:31:55,351 [INFO] Generated 323996 events and 117 labels (S2 victim=user_engineer_8 excluded from S5)
2026-08-01 00:31:55,547 [INFO] Clearing database tables...
2026-08-01 00:32:06,300 [INFO] Streamed 15815 hist events to JSONL in 0.37s
2026-08-01 00:32:06,785 [INFO] Streamed 15815 recent events to JSONL in 0.48s
2026-08-01 00:32:07,546 [INFO] Entity svc_ot_poll_4 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,548 [INFO] Entity user_engineer_2 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,549 [INFO] Entity user_hr_4 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,549 [INFO] Entity user_hr_2 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,550 [INFO] Entity user_finance_11 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,550 [INFO] Entity user_engineer_10 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,551 [INFO] Entity user_hr_12 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,551 [INFO] Entity user_hr_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,552 [INFO] Entity user_hr_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,553 [INFO] Entity user_hr_5 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,553 [INFO] Entity user_finance_8 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,554 [INFO] Entity user_finance_9 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,554 [INFO] Entity user_finance_4 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,555 [INFO] Entity svc_backup_2 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,555 [INFO] Entity svc_backup_8 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,556 [INFO] Entity svc_ot_poll_1 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,556 [INFO] Entity svc_ot_poll_2 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,557 [INFO] Entity svc_ot_poll_5 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,557 [INFO] Entity svc_ot_poll_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,558 [INFO] Entity svc_ot_poll_8 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,558 [INFO] Entity user_engineer_4 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,558 [INFO] Entity user_engineer_11 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,559 [INFO] Entity user_engineer_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,559 [INFO] Entity user_finance_12 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,560 [INFO] Entity user_hr_1 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,561 [INFO] Entity user_finance_10 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,561 [INFO] Entity user_hr_13 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,562 [INFO] Entity user_hr_10 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,562 [INFO] Entity svc_backup_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,563 [INFO] Entity svc_backup_1 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,563 [INFO] Entity svc_backup_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,563 [INFO] Entity svc_backup_6 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,564 [INFO] Entity svc_ot_poll_9 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,564 [INFO] Entity user_engineer_5 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,565 [INFO] Entity user_hr_8 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,566 [INFO] Entity user_engineer_12 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,566 [INFO] Entity user_hr_14 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,566 [INFO] Entity user_hr_9 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,567 [INFO] Entity user_hr_6 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,567 [INFO] Entity user_engineer_1 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,568 [INFO] Entity user_finance_2 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,568 [INFO] Entity user_engineer_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,569 [INFO] Entity user_engineer_13 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,569 [INFO] Entity user_engineer_9 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,570 [INFO] Entity user_engineer_6 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,571 [INFO] Entity svc_backup_4 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,571 [INFO] Entity svc_backup_5 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,572 [INFO] Entity svc_backup_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,572 [INFO] Entity svc_backup_9 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,573 [INFO] Entity svc_ot_poll_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,573 [INFO] Entity svc_ot_poll_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,574 [INFO] Entity svc_ot_poll_6 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,574 [INFO] Entity user_finance_14 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,575 [INFO] Entity user_finance_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,575 [INFO] Entity user_finance_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,576 [INFO] Entity user_finance_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 00:32:07,576 [INFO] Entity user_hr_7 drift: raw=0.00, normalized=0.00, accum=0.00
